Age,Total,Bumiputera,Chinese,Indians,Others,Non-Malaysian Citizens,Gender,State
 0 - 4,153.9,105.1,34.4,8.4,1.5,4.5,Male,JOHOR
 5 - 9,150.6,95.3,38.3,9.1,1.8,6.2,Male,JOHOR
 10 - 14,152.4,92.8,42.6,10.1,1.5,5.4,Male,JOHOR
 15 - 19,169.9,96.7,49.6,11.2,1.2,11.2,Male,JOHOR
 20 - 24,197.7,89.4,49,10.2,0.7,48.3,Male,JOHOR
 25 - 29,193.2,84.4,44.6,10,0.4,53.7,Male,JOHOR
 30 - 34,176.3,86.4,43.5,10.7,0.4,35.4,Male,JOHOR
 35 - 39,154.2,74.9,43.2,11.1,0.3,24.7,Male,JOHOR
 40 - 44,125.6,58.9,40.9,9.4,0.5,16,Male,JOHOR
 45 - 49,111.7,53.9,38.6,7.7,0.2,11.2,Male,JOHOR
 50 - 54,100.6,50.2,36,6.7,0.2,7.5,Male,JOHOR
 55 - 59,89.5,45.2,32.4,5.9,0.2,5.9,Male,JOHOR
 60 - 64,68.6,34.6,25.9,4.1,0.3,3.6,Male,JOHOR
 65 - 69,51.3,25.4,20.6,2.7,0.2,2.4,Male,JOHOR
 70 - 74,34.9,16.1,15.5,1.7,0,1.6,Male,JOHOR
 75 - 79,20.5,9.2,9.6,0.8,0,0.9,Male,JOHOR
 80 - 84,12.5,5.3,5.8,0.4,0,1,Male,JOHOR
 85+,10.5,4.9,3.8,0.6,0,1.2,Male,JOHOR
 0 - 4,143.8,98.2,32.5,7.8,1.7,3.6,Female,JOHOR
 5 - 9,138.7,87.2,35.7,8.9,2.3,4.5,Female,JOHOR
 10 - 14,142.9,87.1,39.9,9.8,1.3,4.6,Female,JOHOR
 15 - 19,154.9,92.5,44.8,10.4,1.2,6.2,Female,JOHOR
 20 - 24,163.1,85.8,43.7,10,0.7,22.8,Female,JOHOR
 25 - 29,150.7,80.8,41.7,9.2,0.6,18.3,Female,JOHOR
 30 - 34,147.2,83.1,39.8,9.1,0.4,14.9,Female,JOHOR
 35 - 39,133.8,73.8,38.7,10.6,0.3,10.4,Female,JOHOR
 40 - 44,109.5,56.1,36.4,8.6,0.2,8.1,Female,JOHOR
 45 - 49,106,55.5,35.9,7.8,0.2,6.6,Female,JOHOR
 50 - 54,96.1,51.6,32.6,6.7,0.2,5,Female,JOHOR
 55 - 59,82.3,44.2,28.5,5.8,0.2,3.6,Female,JOHOR
 60 - 64,69.2,36.4,25,4.9,0.1,2.8,Female,JOHOR
 65 - 69,51,26.9,19.2,3,0.1,1.9,Female,JOHOR
 70 - 74,35,17.8,14.2,1.8,0,1.2,Female,JOHOR
 75 - 79,21.4,11,8.9,0.9,0,0.6,Female,JOHOR
 80 - 84,13.2,6.6,5.4,0.6,0,0.6,Female,JOHOR
 85+,9.5,5.5,2.9,0.5,0,0.6,Female,JOHOR
 0 - 4,93.8,81.2,5.8,3.7,1.1,1.9,Male,KEDAH
 5 - 9,93.8,78.3,8.1,5.1,1.1,1.2,Male,KEDAH
 10 - 14,88.8,72.9,8.5,5.6,0.9,0.8,Male,KEDAH
 15 - 19,107.7,84.3,10.6,7.4,1.2,4.2,Male,KEDAH
 20 - 24,121.5,87.4,12,8.2,1.1,12.8,Male,KEDAH
 25 - 29,103.9,69.6,10.3,6.4,0.8,16.8,Male,KEDAH
 30 - 34,79.8,55.1,8.7,5.6,0.8,9.6,Male,KEDAH
 35 - 39,68.4,47.6,8.4,5.1,0.6,6.7,Male,KEDAH
 40 - 44,61.2,44.9,7.8,4.4,0.5,3.6,Male,KEDAH
 45 - 49,56.8,42.3,8.3,3.7,0.5,2,Male,KEDAH
 50 - 54,55.7,41.1,8.8,3.9,0.6,1.3,Male,KEDAH
 55 - 59,51,37.2,8.9,3.7,0.5,0.8,Male,KEDAH
 60 - 64,41.5,30,7.6,3,0.4,0.5,Male,KEDAH
 65 - 69,31.5,22.7,6.2,2,0.3,0.2,Male,KEDAH
 70 - 74,20.7,14.3,4.9,1.2,0.2,0.2,Male,KEDAH
 75 - 79,11.7,8.2,2.7,0.5,0.1,0.1,Male,KEDAH
 80 - 84,7.2,4.9,1.8,0.4,0,0.1,Male,KEDAH
 85+,4.9,3.5,1,0.3,0,0.1,Male,KEDAH
 0 - 4,88.1,76.3,5.6,3.5,1.1,1.5,Female,KEDAH
 5 - 9,87.4,73.6,7.1,4.9,1,0.9,Female,KEDAH
 10 - 14,83.5,68.7,8.2,5.3,0.8,0.5,Female,KEDAH
 15 - 19,97.8,78.1,9.4,6.4,0.9,2.9,Female,KEDAH
 20 - 24,105.8,81.4,10.2,6.9,0.9,6.4,Female,KEDAH
 25 - 29,90.9,66.2,11.1,6.2,0.8,6.6,Female,KEDAH
 30 - 34,76.4,57.4,8.2,5.7,0.8,4.4,Female,KEDAH
 35 - 39,65.2,49.7,6.2,5,0.7,3.5,Female,KEDAH
 40 - 44,61,44.6,8,4.5,0.7,3.2,Female,KEDAH
 45 - 49,61,46.1,8.4,4.4,0.7,1.4,Female,KEDAH
 50 - 54,58.1,43.1,8.8,4.7,0.6,0.9,Female,KEDAH
 55 - 59,53.4,39.3,8.5,4.5,0.5,0.5,Female,KEDAH
 60 - 64,45.5,33.4,7.7,3.6,0.5,0.3,Female,KEDAH
 65 - 69,34.6,25.4,6.2,2.4,0.3,0.2,Female,KEDAH
 70 - 74,23.1,16.8,4.6,1.4,0.2,0.1,Female,KEDAH
 75 - 79,15.8,11.7,3.1,0.7,0.1,0,Female,KEDAH
 80 - 84,9.5,6.6,2.2,0.6,0,0,Female,KEDAH
 85+,6.7,4.8,1.3,0.5,0,0.1,Female,KEDAH
 0 - 4,99.6,96.3,1.3,0.1,0.6,1.2,Male,KELANTAN
 5 - 9,96.8,93.4,1.7,0.2,0.8,0.8,Male,KELANTAN
 10 - 14,91.2,87.6,1.9,0.3,0.9,0.6,Male,KELANTAN
 15 - 19,98.2,93.1,2.2,0.2,0.7,2,Male,KELANTAN
 20 - 24,105,97.5,2.7,0.2,0.3,4.2,Male,KELANTAN
 25 - 29,92.5,82.7,2.7,0.3,0.4,6.4,Male,KELANTAN
 30 - 34,60.9,52.7,2.6,0.3,0.5,4.8,Male,KELANTAN
 35 - 39,52.5,45.9,2.5,0.2,0.4,3.6,Male,KELANTAN
 40 - 44,41.7,37.1,1.4,0.2,0.2,2.7,Male,KELANTAN
 45 - 49,39.2,35.7,1.6,0.1,0.2,1.6,Male,KELANTAN
 50 - 54,39.2,35.8,1.9,0.2,0.2,1.2,Male,KELANTAN
 55 - 59,36.9,33.7,1.9,0.1,0.2,0.9,Male,KELANTAN
 60 - 64,28.8,26.2,1.8,0.1,0.2,0.5,Male,KELANTAN
 65 - 69,22.4,20.5,1.4,0.1,0.1,0.2,Male,KELANTAN
 70 - 74,14.8,13.5,1,0,0.1,0.2,Male,KELANTAN
 75 - 79,8.3,7.6,0.6,0,0.1,0.1,Male,KELANTAN
 80 - 84,4.2,3.8,0.3,0,0,0,Male,KELANTAN
 85+,3.6,3.2,0.2,0,0,0.1,Male,KELANTAN
 0 - 4,96.4,93.3,1.3,0.1,0.5,1.2,Female,KELANTAN
 5 - 9,90.6,87.5,1.6,0.2,0.7,0.7,Female,KELANTAN
 10 - 14,82.8,79.7,1.8,0.2,0.5,0.6,Female,KELANTAN
 15 - 19,92.3,88.3,2,0.2,0.4,1.5,Female,KELANTAN
 20 - 24,98.8,92.9,2.4,0.2,0.5,2.8,Female,KELANTAN
 25 - 29,81.2,74.9,2.3,0.2,0.5,3.2,Female,KELANTAN
 30 - 34,53.7,49.2,1.4,0.2,0.4,2.5,Female,KELANTAN
 35 - 39,47.1,42.8,1.4,0.1,0.3,2.5,Female,KELANTAN
 40 - 44,44.8,40.7,1.5,0.1,0.3,2.2,Female,KELANTAN
 45 - 49,46.8,42.8,1.6,0.1,0.3,2,Female,KELANTAN
 50 - 54,45.9,42.1,1.9,0.1,0.3,1.5,Female,KELANTAN
 55 - 59,42.2,38.9,1.9,0.1,0.2,1.1,Female,KELANTAN
 60 - 64,33.6,31.1,1.7,0.1,0.2,0.6,Female,KELANTAN
 65 - 69,25,23.2,1.3,0.1,0.2,0.3,Female,KELANTAN
 70 - 74,17.9,16.6,0.9,0,0.2,0.2,Female,KELANTAN
 75 - 79,11.2,10.5,0.6,0,0.1,0.1,Female,KELANTAN
 80 - 84,5.9,5.3,0.4,0,0,0.1,Female,KELANTAN
 85+,4.8,4.4,0.3,0,0,0.1,Female,KELANTAN
 0 - 4,1338.5,1013.1,174.4,58.3,21,71.7,Male,MALAYSIA
 5 - 9,1324.5,964,209.1,70.9,21.6,58.9,Male,MALAYSIA
 10 - 14,1308.8,946.3,234.8,79.5,17.5,30.6,Male,MALAYSIA
 15 - 19,1488.7,972.3,261.4,87.7,15.3,152,Male,MALAYSIA
 20 - 24,1703.8,954.6,272.3,87.6,14.5,374.8,Male,MALAYSIA
 25 - 29,1756.4,917.4,278.5,89.2,12.7,458.5,Male,MALAYSIA
 30 - 34,1505.8,827.5,267.5,90.9,11.2,308.6,Male,MALAYSIA
 35 - 39,1273.9,705.1,262.3,82.6,8.4,215.4,Male,MALAYSIA
 40 - 44,1012,558.1,242.7,69.3,5.9,136,Male,MALAYSIA
 45 - 49,890.5,508.8,232.8,61.2,4.6,83.2,Male,MALAYSIA
 50 - 54,813.7,470.4,225.5,58.7,4.7,54.5,Male,MALAYSIA
 55 - 59,724.6,417.8,214.7,54.5,4.3,33.3,Male,MALAYSIA
 60 - 64,565.9,320.1,178.9,41.4,3.8,21.7,Male,MALAYSIA
 65 - 69,416.3,229.2,143.2,29.4,2.3,12.1,Male,MALAYSIA
 70 - 74,276.3,143.9,105.8,18.2,1.3,7.1,Male,MALAYSIA
 75 - 79,159.2,82.3,63.3,8.8,0.8,4,Male,MALAYSIA
 80 - 84,91.4,44.2,37.9,5.8,0.4,3.1,Male,MALAYSIA
