,No,Constituency,Winner,Votes,Majority,Opponent 1,Votes Opponent 1,Incumbent,Incumbent Majority,Opponent 2,Votes Opponent 2,Opponent 3,Votes Opponent 3,Opponent 4,Votes Opponent 4,Opponent 5,Votes Opponent 5
0,"P1
","Padang Besar
","Zahidi Zainul Abidin  (BN-UMNO)
","15,032
","1,438
","Izizam Ibrahim  (PH-PPBM)
","13,594
","Zahidi Zainul Abidin  (BN-UMNO)
","7,426
","Mokhtar Senik  (GS-PAS)
","7,874
",,,,,,
0,"P2
","Kangar
","Noor Amin Ahmad  (PH-PKR)
","20,909
","5,603
","Ramli Shariff  (BN-UMNO)
","15,306
","Shaharuddin Ismail  (BN-UMNO)
","4,037
","Mohamad Zahid Ibrahim  (GS-PAS)
","8,465
",,,,,,
0,"P3
","Arau
","Shahidan Kassim  (BN-UMNO)
","16,547
"," 4,856
","Abd Rahman Daud  (PH-PPBM)
","11,691
","Shahidan Kassim  (BN-UMNO)
","1,371
","Hashim Hj Jasin  (GS-PAS)
","11,362
",,,,,,
0,"P4
","Langkawi
","Mahathir Mohamad (PH-PPBM)
","18,954
","8,893
","Nawawi Ahmad  (BN-UMNO)
","10,061
","Nawawi Ahmad  (BN-UMNO)
","11,861
","Zubir Ahmad  (GS-PAS)
","5,512
",,,,,,
0,"P5
","Jerlun
","Mukhriz Mahathir (PH-PPBM)
","18,695
","5,866
","Abdul Ghani Ahmad  (GS-PAS)
","12,829
","Othman Aziz  (BN-UMNO)
","3,279
","Othman Aziz  (BN-UMNO)
","12,413
",,,,,,
0,"P6
","Kubang Pasu
","Amiruddin Hamzah (PH-PPBM)
","29,984
","13,009
","Mohd Johari Baharum  (BN-UMNO)
","16,975
","Mohd Johari Baharum  (BN-UMNO)
","10,444
","Norhafiza Fadzil  (GS-PAS)
","13,375
",,,,,,
0,"P7
","Padang Terap
","Mahdzir Khalid  (BN-UMNO)
","16,384
","1,099
","Mohd Azam Abd Aziz  (GS-PAS)
","15,285
","Mahdzir Khalid  (BN-UMNO)
","4,442
","Mohd Khairizal Khazali  (PH-AMANAH)
","7,254
",,,,,,
0,"P8
","Pokok Sena
","Mahfuz Omar  (PH-AMANAH)
","28,959
","5,558
","Radhi Mat Din  (GS-PAS)
","23,401
","Mahfuz Omar  (PH-AMANAH)
","3,935
","Said Ali Said Rastan  (BN-UMNO)
","18,390
",,,,,,
0,"P9
","Alor Setar (previously known as Alor Star)[3]
","Chan Ming Kai  (PH-PKR)
","32,475
","15,200
","Muhd Aminur Shafiq Mohd Abduh  (GS-PAS)
","17,275
","Gooi Hsiao Leung  (PH-PKR)
","1,873
","Yoo Wei How  (BN-MCA)
","14,181
",,,,,,
0,"P10
","Kuala Kedah
","Azman Ismail (PH-PKR)
","36,624
","13,481
","Mohd Riduan Othman  (GS-PAS)
","23,143
","Azman Ismail (PH-PKR)
","4,947
","Abdullah Hasnan Kamaruddin  (BN-UMNO)
","19,400
",,,,,,
0,"P11
","Pendang
","Awang Hashim  (GS-PAS)
","26,536
","5,808
","Othman Abdul  (BN-UMNO)
","20,728
","Othman Abdul  (BN-UMNO)
","2,638
","Wan Saiful Wan Jan (PH-PPBM)
","14,901
","Abdul Malik Manaf (IND)
","81
",,,,
